floss #	color	R	G	B
3836	Light Grape	197	151	185
3837	Ultra Dark Lavender	138	42	143
3838	Dark Lavender Blue	96	107	173
3839	Medium Lavender Blue	122	126	197
3840	Light Lavender Blue	178	189	234
3841	Pale Baby Blue	217	234	242
3842	Dark Wedgewood	6	80	106
3843	Electric Blue	40	163	222
3844	Dark Bright Turquoise	31	127	160
3845	Medium Bright Turquoise	43	173	209
3846	Light Bright Turquoise	94	204	236
3847	Dark Teal Green	24	99	88
3848	Medium Teal Green	32	126	114
3849	Light Teal Green	53	177	147
3850	Dark Bright Green	32	139	70
3851	Light Bright Green	97	187	132
3852	Very Dark Straw	227	167	48
3853	Dark Autumn Gold	239	129	37
3854	Medium Autumn Gold	251	172	86
3855	Light Autumn Gold	253	223	160
3856	Ultra Very Light Mahogany	253	190	142
3857	Dark Rosewood	106	47	38
3858	Medium Rosewood	128	58	50
3859	Light Rosewood	186	122	108
3860	Cocoa	137	99	98
3861	Light Cocoa	172	133	131
3862	Dark Mocha Beige	110	73	42
3863	Medium Mocha Beige	148	114	93
3864	Light Mocha Beige	201	170	146
3865	Winter White	255	253	249
3866	Ultra Very Light Mocha Brown	240	230	215
